Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
201,1739357479334,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,15.789472579956055,9.523809432983398,4.761904716491699,19.047618865966797,19.047618865966797,19.047618865966797,10,10.177098274230957,17179869184,0,9652092928,0
199,1739357479536,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,10,5,5,15.000000953674316,19.047618865966797,5.263157844543457,4.761904716491699,10.177098274230957,17179869184,0,9640984576,0
203,1739357479736,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956055,10,5.263157844543457,0,15.000000953674316,5.555555820465088,13.636363983154297,5,10.177098274230957,17179869184,0,9636233216,0
204,1739357479940,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25,28.571430206298828,15.000000953674316,15.000000953674316,19.047618865966797,19.047618865966797,10,5,10.177098274230957,17179869184,0,9638379520,0
204,1739357480145,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25,21.052631378173828,14.285715103149414,9.523809432983398,15.789472579956055,10,5.263157844543457,0,10.60251522064209,17179869184,0,9641164800,0
204,1739357480350,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,20,10,5,4.761904716491699,15.000000953674316,19.047618865966797,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629761536,0
200,1739357480554,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.174007415771484,44.869102478027344,45.675323486328125,45.561546325683594,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956055,15.000000953674316,10,5,22.72727394104004,20,5.263157844543457,5,10.60251522064209,17179869184,0,9629106176,0
204,1739357480755,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,25,15.789472579956055,14.285715103149414,5,20,15.000000953674316,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629122560,0
200,1739357480960,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,20,19.047618865966797,0,0,5.263157844543457,9.523809432983398,5,0,10.60251522064209,17179869184,0,9628844032,0
204,1739357481161,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.112945556640625,44.120750427246094,45.030765533447266,45.01826477050781,44.793617248535156,44.869468688964844,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,35,26.3157901763916,20,15.789472579956055,14.285715103149414,10.526315689086914,9.523809432983398,5,9.872262954711914,17179869184,0,9628041216,0
