Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1742286730618,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.943809509277344,2.4759902954101563,13.087417602539063,2.8649826049804688,12.135246276855469,2.3826370239257813,4.365882873535156,1.8433074951171875,5.649406433105469,1.3040695190429688,4.245124816894531,1.3515243530273438,2498.28564453125,4096,960,59,0,31287.956298828125,29017.0390625,23.02532958984375,34156867584,10236112896,24889131008,2850459648
199,1742286730819,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.337188720703125,6.055442810058594,13.231414794921875,5.9340667724609375,19.910552978515625,9.618125915527344,8.23626708984375,2.1249160766601563,5.72515869140625,2.5290069580078125,5.327735900878906,2.7170257568359375,2498.5892944335938,4096,960,59,0,31289.14990234375,29017.973571777344,23.02532958984375,34156867584,10236112896,24888541184,2850197504
199,1742286731019,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,16.69811248779297,5.162666320800781,21.927886962890625,8.322998046875,22.978179931640625,3.6541748046875,21.30023193359375,11.833724975585938,14.283676147460938,3.080322265625,7.62799072265625,3.621246337890625,2498.8958129882813,4096,960,59,0,31289.929260253906,29018.478454589844,23.02532958984375,34156867584,10236112896,24890814464,2849038336
199,1742286731219,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,14.87103271484375,9.263191223144531,20.104888916015625,3.5530929565429688,22.89788818359375,6.611839294433594,12.903289794921875,5.808219909667969,21.169776916503906,6.266487121582031,17.698196411132813,5.124763488769531,2499.194091796875,4096,960,59,0,31290.55975341797,29018.82763671875,23.02532958984375,34156867584,10236112896,24891133952,2850467840
199,1742286731420,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.052032470703125,6.869010925292969,13.176544189453125,15.167106628417969,19.61480712890625,24.673194885253906,13.609870910644531,5.376609802246094,9.133460998535156,8.666183471679688,28.635276794433594,1.9947967529296875,2499.5144653320313,4096,960,59,0,31292.623168945313,29020.5888671875,23.02764892578125,34156867584,10236112896,24890564608,2849984512
200,1742286731620,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.528335571289063,48.620845794677734,13.579742431640625,6.9376678466796875,18.245620727539063,6.527626037597656,9.566444396972656,3.8434906005859375,8.601875305175781,4.219322204589844,9.269378662109375,3.4706878662109375,2499.8740844726563,4096,960,59,0,31294.643188476563,29022.299072265625,23.02764892578125,34156867584,10236112896,24889548800,2848948224
200,1742286731820,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,32.19432067871094,3.3375244140625,29.224205017089844,2.6831741333007813,20.968658447265625,3.9485321044921875,9.335029602050781,2.331573486328125,5.636528015136719,3.998321533203125,10.826820373535156,1.6009445190429688,2500.241455078125,4096,960,59,0,31297.629455566406,29024.942749023438,23.02764892578125,34156867584,10236112896,24877563904,2834407424
200,1742286732020,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,18.090171813964844,5.443901062011719,16.369873046875,1.7518310546875,20.20500946044922,2.3199310302734375,12.754615783691406,1.8322906494140625,8.954261779785156,2.2938003540039063,7.177436828613281,2.4761505126953125,2500.5460815429688,4096,960,59,0,31301.19940185547,29028.24493408203,23.02764892578125,34156867584,10236112896,24874676224,2832998400
200,1742286732221,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.246749877929688,7.286865234375,13.126289367675781,3.0863876342773438,16.237403869628906,4.162544250488281,10.377891540527344,3.601226806640625,20.59644317626953,4.708961486816406,5.801887512207031,5.6529998779296875,2500.8634033203125,4096,960,59,0,31302.36346435547,29029.132751464844,23.02764892578125,34156867584,10236112896,24871493632,2831249408
200,1742286732422,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.586921691894531,16.35321044921875,19.079742431640625,7.679206848144531,30.049766540527344,4.582496643066406,12.407539367675781,5.3311309814453125,15.699531555175781,6.3833465576171875,11.048942565917969,7.612091064453125,2501.189453125,4096,960,59,0,31303.982177734375,29030.46319580078,23.0296630859375,34156867584,10236112896,24872263680,2830409728
