Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W),DIFF_DIFF_CORE0_ENERGY (J),DIFF_POWER (W),DIFF_DIFF_CORE1_ENERGY (J),DIFF_DIFF_CORE2_ENERGY (J),DIFF_DIFF_CORE3_ENERGY (J),DIFF_DIFF_CORE4_ENERGY (J),DIFF_DIFF_CORE5_ENERGY (J),DIFF_DIFF_CORE6_ENERGY (J),DIFF_DIFF_CORE7_ENERGY (J),DIFF_DIFF_CPU_ENERGY (J)
200,9412,9368.37712097168,3416.6666666666665,1,0.7625,9368.377151489258,3416.6666666666665,1,0.7625,18770.55047607422,5125.0,1,0.1187499999999999,18770.55047607422,5125.0,1,0.1187499999999999,8680.582290649414,3416.6666666666665,1,0.7625,8680.582290649414,3416.6666666666665,1,0.7625,18723.24671936035,3416.6666666666665,1,0.7625,18723.24671936035,5125.0,0,0.2375,176787.21990966797,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4516507648,754900992,0.0012359619140625,0.0061798095703125,0.0012664794921875,0.0063323974609375,0.010894775390625,0.054473876953125,0.010894775390625,0.054473876953125,0.000518798828125,0.002593994140625,0.000518798828125,0.002593994140625,0.018402099609375,0.092010498046875,0.018402099609375,0.092010498046875,0.635406494140625,3.177032470703125,-0.02581787109375,-2.1611785888671875,-0.025787353515625,-0.07080078125,-0.07080078125,-0.0821990966796875,-0.0821990966796875,-0.002822875972924521,-0.002822875972924521,-0.4322357177734375
200,9612,9368.406280517578,3366.6666666666665,1,0.76875,9368.406280517578,3366.6666666666665,1,0.76875,18770.569747924805,3366.6666666666665,1,0.76875,18770.569747924805,3366.6666666666665,1,0.76875,8680.611129760742,3366.6666666666665,1,0.76875,8680.611129760742,3366.6666666666665,1,0.3249999999999999,18723.290786743164,3366.6666666666665,1,0.3249999999999999,18723.290786743164,3366.6666666666665,1,0.3249999999999999,176788.00660705566,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4515721216,754900992,0.0291595458984375,0.1457977294921875,0.0291290283203125,0.1456451416015625,0.0192718505859375,0.0963592529296875,0.0192718505859375,0.0963592529296875,0.028839111328125,0.144195556640625,0.028839111328125,0.144195556640625,0.0440673828125,0.2203369140625,0.0440673828125,0.2203369140625,0.7866973876953125,3.9334869384765625,0.027923583984375,0.7564544677734375,0.027862548828125,0.0083770751953125,0.0083770751953125,0.0283203125,0.0283203125,0.025665283203125,0.025665283203125,0.1512908935546875
200,9813,9368.43035888672,3775.0,1,0.68125,9368.43035888672,3775.0,1,0.68125,18770.606033325195,3775.0,1,0.68125,18770.606033325195,3775.0,1,0.68125,8680.622436523438,3775.0,1,0.68125,8680.622436523438,3775.0,1,0.68125,18723.292938232426,3775.0,1,0.6875,18723.292938232426,3775.0,1,0.6875,176788.7910003662,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4515979264,754900992,0.02407836914244399,0.12039184571221995,0.02407836914244399,0.12039184571221995,0.036285400390625,0.181427001953125,0.036285400390625,0.181427001953125,0.0113067626953125,0.0565338134765625,0.0113067626953125,0.0565338134765625,0.002151489261450479,0.010757446307252394,0.002151489261450479,0.010757446307252394,0.784393310546875,3.921966552734375,-0.005081176755993511,-0.0115203857421875,-0.005050659177868511,0.0170135498046875,0.0170135498046875,-0.0175323486328125,-0.0175323486328125,-0.04191589355104952,-0.04191589355104952,-0.0023040771484375
200,10013,9368.430603027344,3366.6666666666665,1,0.76875,9368.430603027344,3366.6666666666665,1,0.76875,18770.61892700196,5050.0,0,0.2375,18770.61892700196,5050.0,0,0.2375,8680.622680664062,3366.6666666666665,1,0.76875,8680.622680664062,3366.6666666666665,1,0.76875,18723.351135253903,3366.6666666666665,1,0.775,18723.351135253903,3366.6666666666665,1,0.775,176789.3159790039,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4515979264,754900992,0.0002441406231810106,0.001220703115905053,0.0002441406231810106,0.001220703115905053,0.012893676765088458,0.06446838382544229,0.012893676765088458,0.06446838382544229,0.000244140625,0.001220703125,0.000244140625,0.001220703125,0.05819702147709904,0.2909851073854952,0.05819702147709904,0.2909851073854952,0.5249786376953125,2.6248931884765625,-0.02383422851926298,-1.2970733642578125,-0.02383422851926298,-0.023391723625536542,-0.023391723625536542,-0.0110626220703125,-0.0110626220703125,0.056045532215648564,0.056045532215648564,-0.2594146728515625
200,10213,9368.438568115234,3775.0,1,0.68125,9368.438568115234,3775.0,1,0.68125,18770.6774597168,3775.0,0,0.68125,18770.6774597168,3775.0,0,0.68125,8680.640182495117,3775.0,1,0.68125,8680.640182495117,3775.0,1,0.68125,18723.368438720703,2516.666666666667,1,0.6875,18723.368438720703,3416.6666666666665,1,0.6875,176790.04516601565,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4515717120,754900992,0.007965087890625,0.039825439453125,0.007965087890625,0.039825439453125,0.05853271484011202,0.2926635742005601,0.05853271484011202,0.2926635742005601,0.0175018310546875,0.0875091552734375,0.0175018310546875,0.0875091552734375,0.01730346680051298,0.0865173340025649,0.01730346680051298,0.0865173340025649,0.7291870117478538,3.645935058739269,0.007720947267443989,1.0210418702627067,0.007720947267443989,0.045639038075023564,0.045639038075023564,0.0172576904296875,0.0172576904296875,-0.040893554676586064,-0.040893554676586064,0.20420837405254133
200,10414,9368.442291259766,3383.333333333333,1,0.7625,9368.442291259766,3383.333333333333,1,0.7625,18770.69102478028,5075.0,1,0.1999999999999999,18770.69102478028,5075.0,1,0.1999999999999999,8680.640396118164,3383.333333333333,1,0.76875,8680.640396118164,3383.333333333333,1,0.76875,18723.36866760254,3383.333333333333,1,0.775,18723.36866760254,3400.0,1,0.54375,176790.60792541504,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4515717120,754900992,0.00372314453125,0.01861572265625,0.00372314453125,0.01861572265625,0.013565063480200479,0.0678253174010024,0.013565063480200479,0.0678253174010024,0.000213623046875,0.001068115234375,0.000213623046875,0.001068115234375,0.0002288818359375,0.0011444091796875,0.0002288818359375,0.0011444091796875,0.5627593993849587,2.8137969969247933,-0.004241943359375,-0.8321380618144758,-0.004241943359375,-0.04496765135991154,-0.04496765135991154,-0.0172882080078125,-0.0172882080078125,-0.01707458496457548,-0.01707458496457548,-0.16642761236289516
200,10614,9368.47605895996,3775.0,1,0.68125,9368.47605895996,3775.0,1,0.68125,18770.77569580078,3775.0,1,0.6875,18770.77569580078,3775.0,1,0.6875,8680.672653198242,3775.0,1,0.68125,8680.672653198242,3775.0,1,0.68125,18723.41975402832,3366.6666666666665,1,0.8125,18723.41975402832,3366.6666666666665,1,0.8125,176791.39164733887,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4503957504,754900992,0.03376770019349351,0.16883850096746755,0.03376770019349351,0.16883850096746755,0.08467102050053654,0.4233551025026827,0.08467102050053654,0.4233551025026827,0.032257080078125,0.161285400390625,0.032257080078125,0.161285400390625,0.05108642578125,0.25543212890625,0.05108642578125,0.25543212890625,0.783721923828125,3.918609619140625,0.03004455566224351,1.1048126222158317,0.03004455566224351,0.07110595702033606,0.07110595702033606,0.03204345703125,0.03204345703125,0.0508575439453125,0.0508575439453125,0.22096252444316633
200,10815,9368.476547241213,3775.0,1,0.68125,9368.476547241213,3775.0,1,0.68125,18770.79197692871,3775.0,1,0.68125,18770.79197692871,3775.0,1,0.68125,8680.674377441406,3775.0,1,0.68125,8680.674377441406,3775.0,1,0.68125,18723.42018127441,2516.666666666667,1,0.6875,18723.42018127441,3416.6666666666665,1,0.86875,176792.03129577637,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4503957504,754900992,0.0004882812536379788,0.002441406268189894,0.0004882812536379788,0.002441406268189894,0.0162811279296875,0.0814056396484375,0.0162811279296875,0.0814056396484375,0.0017242431640625,0.0086212158203125,0.0017242431640625,0.0086212158203125,0.0004272460901120212,0.002136230450560106,0.0004272460901120212,0.002136230450560106,0.6396484375,3.1982421875,-0.03327941893985553,-0.720367431640625,-0.03327941893985553,-0.06838989257084904,-0.06838989257084904,-0.0305328369140625,-0.0305328369140625,-0.05065917969113798,-0.05065917969113798,-0.144073486328125
200,11015,9368.47671508789,3775.0,1,0.68125,9368.47671508789,3775.0,1,0.68125,18770.80387878418,3775.0,1,0.68125,18770.80387878418,3775.0,1,0.68125,8680.674545288086,3775.0,1,0.68125,8680.674545288086,3775.0,1,0.68125,18723.420349121094,3416.6666666666665,1,0.6875,18723.420349121094,3416.6666666666665,1,0.90625,176792.5379638672,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4503957504,754900992,0.0001678466778685106,0.000839233389342553,0.0001678466778685106,0.000839233389342553,0.01190185546875,0.05950927734375,0.01190185546875,0.05950927734375,0.0001678466796875,0.0008392333984375,0.0001678466796875,0.0008392333984375,0.0001678466833254788,0.000839233416627394,0.0001678466833254788,0.000839233416627394,0.5066680908203125,2.5333404541015625,-0.0003204345757694682,-0.6649017333984375,-0.0003204345757694682,-0.0043792724609375,-0.0043792724609375,-0.001556396484375,-0.001556396484375,-0.0002593994067865424,-0.0002593994067865424,-0.1329803466796875
200,11215,9368.476928710938,3416.6666666666665,1,0.75625,9368.476928710938,3416.6666666666665,1,0.75625,18770.839920043945,5125.0,1,0.1125,18770.839920043945,5125.0,1,0.1125,8680.674743652344,3416.6666666666665,1,0.7625,8680.674743652344,3416.6666666666665,1,0.7625,18723.42378234864,3416.6666666666665,1,0.7625,18723.42378234864,3416.6666666666665,1,0.7625,176793.1094970703,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4503957504,754900992,0.000213623046875,0.001068115234375,0.000213623046875,0.001068115234375,0.036041259765625,0.180206298828125,0.036041259765625,0.180206298828125,0.0001983642578125,0.0009918212890625,0.0001983642578125,0.0009918212890625,0.0034332275463384576,0.017166137731692288,0.0034332275463384576,0.017166137731692288,0.571533203125,2.857666015625,4.5776369006489404e-05,0.3243255615234375,4.5776369006489404e-05,0.024139404296875,0.024139404296875,3.0517578125e-05,3.0517578125e-05,0.003265380863012979,0.003265380863012979,0.0648651123046875
