Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,SYSTEM_ENERGY (J),DIFF_SYSTEM_ENERGY (J),SYSTEM_POWER (W)
201,1831,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,15.789472579956056,9.523809432983398,4.761904716491699,19.0476188659668,19.0476188659668,19.0476188659668,10.0,10.177098274230955,17179869184,0,9652092928,0,2.045596753120422,-0.030531294822692345,-0.1518969891676236
199,2033,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,10.0,5.0,5.0,15.000000953674316,19.0476188659668,5.263157844543457,4.761904716491699,10.177098274230955,17179869184,0,9640984576,0,2.02524255657196,-0.020354196548462156,-0.10228239471589022
203,2233,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956056,10.0,5.263157844543457,0.0,15.000000953674316,5.555555820465088,13.636363983154297,5.0,10.177098274230955,17179869184,0,9636233216,0,2.065950949668884,0.04070839309692387,0.2005339561424821
204,2437,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25.0,28.571430206298828,15.000000953674316,15.000000953674316,19.0476188659668,19.0476188659668,10.0,5.0,10.177098274230955,17179869184,0,9638379520,0,2.0761280479431146,0.010177098274230634,0.049887736638385465
204,2642,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25.0,21.052631378173828,14.285715103149414,9.523809432983398,15.789472579956056,10.0,5.263157844543457,0.0,10.60251522064209,17179869184,0,9641164800,0,2.162913105010986,0.08678505706787165,0.4254169464111356
204,2847,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,20.0,10.0,5.0,4.761904716491699,15.000000953674316,19.0476188659668,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629761536,0,2.162913105010986,0.0,0.0
200,3051,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956056,15.000000953674316,10.0,5.0,22.72727394104004,20.0,5.263157844543457,5.0,10.60251522064209,17179869184,0,9629106176,0,2.120503044128418,-0.04241006088256816,-0.21205030441284078
204,3252,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.11294555664063,44.120750427246094,45.03076553344727,45.01826477050781,44.79361724853516,44.86946868896485,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,25.0,15.789472579956056,14.285715103149414,5.0,20.0,15.000000953674316,14.285715103149414,9.523809432983398,10.60251522064209,17179869184,0,9629122560,0,2.162913105010986,0.04241006088256816,0.20789245530670666
200,3457,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.11294555664063,44.120750427246094,45.03076553344727,45.01826477050781,44.79361724853516,44.86946868896485,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,20.0,19.0476188659668,0.0,0.0,5.263157844543457,9.523809432983398,5.0,0.0,10.60251522064209,17179869184,0,9628844032,0,2.120503044128418,-0.04241006088256816,-0.21205030441284078
204,3658,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.11294555664063,44.120750427246094,45.03076553344727,45.01826477050781,44.79361724853516,44.86946868896485,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,35.0,26.3157901763916,20.0,15.789472579956056,14.285715103149414,10.526315689086914,9.523809432983398,5.0,9.872262954711914,17179869184,0,9628041216,0,2.0139416427612304,-0.10656140136718761,-0.5223598106234687
204,3863,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.11294555664063,44.120750427246094,45.03076553344727,45.01826477050781,44.79361724853516,44.86946868896485,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,15.000000953674316,9.523809432983398,9.090909004211426,9.090909004211426,20.0,18.18181800842285,10.0,9.523809432983398,9.872262954711914,17179869184,0,9628663808,0,2.0139416427612304,0.0,0.0
203,4068,4056,4056,4056,4056,4056,4056,4056,4056,44.79302978515625,44.89962387084961,45.1856575012207,44.66859436035156,45.11294555664063,44.120750427246094,45.03076553344727,45.01826477050781,44.79361724853516,44.86946868896485,45.032108306884766,44.895469665527344,44.920711517333984,45.26350784301758,19.0476188659668,15.000000953674316,5.263157844543457,5.0,15.000000953674316,10.0,10.0,0.0,9.872262954711914,17179869184,0,9628434432,0,2.0040693798065186,-0.009872262954711886,-0.04863183721532948
